Key,Count,Size,NeverExpire,AvgTtl(excluded never expire)
size5000_500k:*,500000,156.403 MB,500000,0
size1000_500k:*,500000,134.945 MB,500000,0
size100_500k:*,500000,48.637 MB,500000,0
size5000_100k:*,100000,31.281 MB,100000,0
size1000_100k:*,100000,26.989 MB,100000,0
size100_100k:*,100000,9.727 MB,100000,0
size10_500k:*,500000,5.245 MB,500000,0
size5000_10k:*,10000,3.128 MB,10000,0
size1000_10k:*,10000,2.699 MB,10000,0
size10_100k:*,100000,1.049 MB,100000,0
size100_10k:*,10000,996.094 KB,10000,0
size10_10k:*,10000,107.422 KB,10000,0
key:*,1,48.833 KB,1,0
counter:*,1,5.000 Bytes,1,0
